"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"St. Mary's College of Maryland",2018,1552,14806,"1,000 - 4,999","Four or more years","Suburb",1753.33333333333,8.22222222222222,3.22222222222222,6.33333333333333,73.2222222222222,58,72.7777777777778,"50 to 74%","75 to 100%"
"Towson University",2018,19818,9940,"20,000 and above","Four or more years","City",18697.8888888889,16.7777777777778,5,5.77777777777778,62.4444444444444,60,65,"50 to 74%","75 to 100%"
"Anna Maria College",2018,1134,37860,"1,000 - 4,999","Four or more years","Rural",1093.22222222222,9.88888888888889,1.44444444444444,8.77777777777778,68,56,73.6666666666667,"50 to 74%","50 to 74%"
"Bay Path University",2018,1923,34225,"1,000 - 4,999","Four or more years","Suburb",1705,12.7777777777778,1.77777777777778,16.4444444444444,56.4444444444444,100,62.7777777777778,"75 to 100%","50 to 74%"
"Laboure College",2018,845,36962,"Under 1,000","Four or more years","Suburb",766.555555555556,27.2222222222222,2.66666666666667,7.88888888888889,55.7777777777778,90,53.7777777777778,"75 to 100%","0 to 24%"
"Curry College",2018,2358,40070,"1,000 - 4,999","Four or more years","Suburb",2688.11111111111,9.22222222222222,1.88888888888889,5.55555555555556,66.6666666666667,61,81,"50 to 74%","75 to 100%"
"Fitchburg State University",2018,4163,10354,"5,000 - 9,999","Four or more years","Suburb",4196.66666666667,7.11111111111111,2.22222222222222,9.33333333333333,74.7777777777778,54,73.6666666666667,"50 to 74%","75 to 100%"
"Hampshire College",2018,1191,51668,"1,000 - 4,999","Four or more years","Suburb",1394.22222222222,4.55555555555556,2.22222222222222,10.1111111111111,64.7777777777778,60,65.4444444444444,"50 to 74%","50 to 74%"
"University of Massachusetts-Boston",2018,12714,14167,"10,000 - 19,999","Four or more years","City",12421.5555555556,15.4444444444444,12,12.5555555555556,39.1111111111111,55,68.7777777777778,"50 to 74%","75 to 100%"
"Merrimack College",2018,3853,41760,"1,000 - 4,999","Four or more years","Suburb",2957.66666666667,2.88888888888889,1.55555555555556,6.33333333333333,72.2222222222222,50,80.6666666666667,"50 to 74%","75 to 100%"
"Mount Holyoke College",2018,2208,49998,"1,000 - 4,999","Four or more years","Suburb",2235.77777777778,5.22222222222222,8.66666666666667,7.88888888888889,46.2222222222222,100,50.1111111111111,"75 to 100%","50 to 74%"
"Massachusetts College of Liberal Arts",2018,1277,10559,"1,000 - 4,999","Four or more years","Town",1519.88888888889,8.44444444444444,1.55555555555556,7.11111111111111,75,61,72.2222222222222,"50 to 74%","50 to 74%"
"Northeastern University",2018,13909,51522,"20,000 and above","Four or more years","City",14920.8888888889,4.11111111111111,10.7777777777778,6.66666666666667,47.7777777777778,51,30.2222222222222,"50 to 74%","0 to 24%"
"Smith College",2018,2502,52404,"1,000 - 4,999","Four or more years","Suburb",2562.55555555556,5.55555555555556,11.6666666666667,9.44444444444444,45.6666666666667,100,39.7777777777778,"75 to 100%","25 to 49%"
"Ferris State University",2018,11896,11788,"10,000 - 19,999","Four or more years","Town",13029.7777777778,7,1.44444444444444,4.22222222222222,78.6666666666667,52,74.1111111111111,"50 to 74%","75 to 100%"
"Martin Luther College",2018,885,15410,"Under 1,000","Four or more years","Town",805.888888888889,0.888888888888889,0.666666666666667,0.888888888888889,94.3333333333333,51,89.1111111111111,"50 to 74%","75 to 100%"
"Macalester College",2018,2174,54344,"1,000 - 4,999","Four or more years","City",2094.22222222222,2.88888888888889,6.88888888888889,6.33333333333333,64.8888888888889,60,38.1111111111111,"50 to 74%","25 to 49%"
"Minnesota State University-Mankato",2018,12492,8184,"10,000 - 19,999","Four or more years","City",13246.6666666667,4.66666666666667,3.22222222222222,3.66666666666667,77.3333333333333,52,69.6666666666667,"50 to 74%","50 to 74%"
"Metropolitan State University",2018,7031,7879,"5,000 - 9,999","Four or more years","City",7401.11111111111,17.5555555555556,12.5555555555556,5.22222222222222,56.6666666666667,57,89.6666666666667,"50 to 74%","50 to 74%"
"North Central University",2018,1072,24240,"1,000 - 4,999","Four or more years","City",1206,3.77777777777778,1.77777777777778,5.44444444444444,70.5555555555556,57,80.4444444444444,"50 to 74%","75 to 100%"
"College of Saint Benedict",2018,1782,45264,"1,000 - 4,999","Four or more years","Suburb",1992.11111111111,2.22222222222222,5.55555555555556,5.33333333333333,81,100,79.4444444444444,"75 to 100%","75 to 100%"
"Saint Mary's University of Minnesota",2018,1442,35110,"5,000 - 9,999","Four or more years","Town",1809.88888888889,6.11111111111111,2.22222222222222,5.44444444444444,59.2222222222222,54,75.8888888888889,"50 to 74%","75 to 100%"
